accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN31132142	Successfully loaded	1415_Pact_mtORF_HoloInt	1415_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.11.13	Coral host tissue	adult			021_1415										The Putnam Lab at the University of Rhode Island
SAMN31132143	Successfully loaded	1416_Pact_mtORF_HoloInt	1416_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii Reef.11.13	Coral host tissue	adult			103_1416										The Putnam Lab at the University of Rhode Island
SAMN31132144	Successfully loaded	1418_Pact_mtORF_HoloInt	1418_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			072_1418										The Putnam Lab at the University of Rhode Island
SAMN31132145	Successfully loaded	1427_Pact_mtORF_HoloInt	1427_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			071_1427										The Putnam Lab at the University of Rhode Island
SAMN31132146	Successfully loaded	1445_Pact_mtORF_HoloInt	1445_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Reef.11.13	Coral host tissue	adult			045_1445										The Putnam Lab at the University of Rhode Island
SAMN31132147	Successfully loaded	1451_Pact_mtORF_HoloInt	1451_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.18	Coral host tissue	adult			089_1451										The Putnam Lab at the University of Rhode Island
SAMN31132148	Successfully loaded	1459_Pact_mtORF_HoloInt	1459_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.18	Coral host tissue	adult			018_1459										The Putnam Lab at the University of Rhode Island
SAMN31132149	Successfully loaded	1466_Pact_mtORF_HoloInt	1466_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			067_1466										The Putnam Lab at the University of Rhode Island
SAMN31132150	Successfully loaded	1468_Pact_mtORF_HoloInt	1468_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Reef.35.36	Coral host tissue	adult			012_1468										The Putnam Lab at the University of Rhode Island
SAMN31132151	Successfully loaded	1471_Pact_mtORF_HoloInt	1471_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.35.36	Coral host tissue	adult			032_1471										The Putnam Lab at the University of Rhode Island
SAMN31132152	Successfully loaded	1486_Pact_mtORF_HoloInt	1486_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.11.13	Coral host tissue	adult			027_1486										The Putnam Lab at the University of Rhode Island
SAMN31132153	Successfully loaded	1487_Pact_mtORF_HoloInt	1487_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			094_1487										The Putnam Lab at the University of Rhode Island
SAMN31132154	Successfully loaded	1536_Pact_mtORF_HoloInt	1536_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Reef.35.36	Coral host tissue	adult			064_1536										The Putnam Lab at the University of Rhode Island
SAMN31132155	Successfully loaded	1542_Pact_mtORF_HoloInt	1542_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			105_1542										The Putnam Lab at the University of Rhode Island
SAMN31132156	Successfully loaded	1559_Pact_mtORF_HoloInt	1559_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			113_1559										The Putnam Lab at the University of Rhode Island
SAMN31132157	Successfully loaded	1563_Pact_mtORF_HoloInt	1563_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			078_1563										The Putnam Lab at the University of Rhode Island
SAMN31132158	Successfully loaded	1563_Pact_mtORF_HoloInt2	1563_Pact_mtORF_HoloInt2		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			044_1563_2										The Putnam Lab at the University of Rhode Island
SAMN31132159	Successfully loaded	1571_Pact_mtORF_HoloInt	1571_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.35.36	Coral host tissue	adult			120_1571										The Putnam Lab at the University of Rhode Island
SAMN31132160	Successfully loaded	1581_Pact_mtORF_HoloInt	1581_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			038_1581										The Putnam Lab at the University of Rhode Island
SAMN31132161	Successfully loaded	1581_Pact_mtORF_HoloInt2	1581_Pact_mtORF_HoloInt2		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			01_1581_2										The Putnam Lab at the University of Rhode Island
SAMN31132162	Successfully loaded	1582_Pact_mtORF_HoloInt	1582_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			069_1582										The Putnam Lab at the University of Rhode Island
SAMN31132163	Successfully loaded	1594_Pact_mtORF_HoloInt	1594_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.35.36	Coral host tissue	adult			106_1594										The Putnam Lab at the University of Rhode Island
SAMN31132164	Successfully loaded	1595_Pact_mtORF_HoloInt	1595_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii HIMB	Coral host tissue	adult			082_1595										The Putnam Lab at the University of Rhode Island
SAMN31132165	Successfully loaded	1596_Pact_mtORF_HoloInt	1596_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii Reef.42.43	Coral host tissue	adult			037_1596										The Putnam Lab at the University of Rhode Island
SAMN31132166	Successfully loaded	1617_Pact_mtORF_HoloInt	1617_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			010_1617										The Putnam Lab at the University of Rhode Island
SAMN31132167	Successfully loaded	1637_Pact_mtORF_HoloInt	1637_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.11.13	Coral host tissue	adult			104_1637										The Putnam Lab at the University of Rhode Island
SAMN31132168	Successfully loaded	1641_Pact_mtORF_HoloInt	1641_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii HIMB	Coral host tissue	adult			116_1641										The Putnam Lab at the University of Rhode Island
SAMN31132169	Successfully loaded	1642_Pact_mtORF_HoloInt	1642_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii HIMB	Coral host tissue	adult			100_1642										The Putnam Lab at the University of Rhode Island
SAMN31132170	Successfully loaded	1647_Pact_mtORF_HoloInt	1647_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii HIMB	Coral host tissue	adult			016_1647										The Putnam Lab at the University of Rhode Island
SAMN31132171	Successfully loaded	1653_Pact_mtORF_HoloInt	1653_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii HIMB	Coral host tissue	adult			043_1653										The Putnam Lab at the University of Rhode Island
SAMN31132172	Successfully loaded	1676_Pact_mtORF_HoloInt	1676_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			054_1676										The Putnam Lab at the University of Rhode Island
SAMN31132173	Successfully loaded	1696_Pact_mtORF_HoloInt	1696_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			039_1696										The Putnam Lab at the University of Rhode Island
SAMN31132174	Successfully loaded	1701_Pact_mtORF_HoloInt	1701_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.18	Coral host tissue	adult			036_1701										The Putnam Lab at the University of Rhode Island
SAMN31132175	Successfully loaded	1707_Pact_mtORF_HoloInt	1707_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.11.13	Coral host tissue	adult			06_1707										The Putnam Lab at the University of Rhode Island
SAMN31132176	Successfully loaded	1709_Pact_mtORF_HoloInt	1709_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			087_1709										The Putnam Lab at the University of Rhode Island
SAMN31132177	Successfully loaded	1721_Pact_mtORF_HoloInt	1721_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			05_1721										The Putnam Lab at the University of Rhode Island
SAMN31132178	Successfully loaded	1728_Pact_mtORF_HoloInt	1728_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Reef.18	Coral host tissue	adult			093_1728										The Putnam Lab at the University of Rhode Island
SAMN31132179	Successfully loaded	1732_Pact_mtORF_HoloInt	1732_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			117_1732										The Putnam Lab at the University of Rhode Island
SAMN31132180	Successfully loaded	1744_Pact_mtORF_HoloInt	1744_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Reef.35.36	Coral host tissue	adult			040_1744										The Putnam Lab at the University of Rhode Island
SAMN31132181	Successfully loaded	1755_Pact_mtORF_HoloInt	1755_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.42.43	Coral host tissue	adult			115_1755										The Putnam Lab at the University of Rhode Island
SAMN31132182	Successfully loaded	1757_Pact_mtORF_HoloInt	1757_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.42.43	Coral host tissue	adult			033_1757										The Putnam Lab at the University of Rhode Island
SAMN31132183	Successfully loaded	1762_Pact_mtORF_HoloInt	1762_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			014_1762										The Putnam Lab at the University of Rhode Island
SAMN31132184	Successfully loaded	1765_Pact_mtORF_HoloInt	1765_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.42.43	Coral host tissue	adult			059_1765										The Putnam Lab at the University of Rhode Island
SAMN31132185	Successfully loaded	1767_Pact_mtORF_HoloInt	1767_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			055_1767										The Putnam Lab at the University of Rhode Island
SAMN31132186	Successfully loaded	1775_Pact_mtORF_HoloInt	1775_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			029_1775										The Putnam Lab at the University of Rhode Island
SAMN31132187	Successfully loaded	1777_Pact_mtORF_HoloInt	1777_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii HIMB	Coral host tissue	adult			053_1777										The Putnam Lab at the University of Rhode Island
SAMN31132188	Successfully loaded	1820_Pact_mtORF_HoloInt	1820_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Reef.11.13	Coral host tissue	adult			04_1820										The Putnam Lab at the University of Rhode Island
SAMN31132189	Successfully loaded	2002_Pact_mtORF_HoloInt	2002_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			083_2002										The Putnam Lab at the University of Rhode Island
SAMN31132190	Successfully loaded	2005_Pact_mtORF_HoloInt	2005_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.18	Coral host tissue	adult			097_2005										The Putnam Lab at the University of Rhode Island
SAMN31132191	Successfully loaded	2012_Pact_mtORF_HoloInt	2012_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.42.43	Coral host tissue	adult			066_2012										The Putnam Lab at the University of Rhode Island
SAMN31132192	Successfully loaded	2026_Pact_mtORF_HoloInt	2026_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			079_2026										The Putnam Lab at the University of Rhode Island
SAMN31132193	Successfully loaded	2064_Pact_mtORF_HoloInt	2064_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii HIMB	Coral host tissue	adult			092_2064										The Putnam Lab at the University of Rhode Island
SAMN31132194	Successfully loaded	2072_Pact_mtORF_HoloInt	2072_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii HIMB	Coral host tissue	adult			024_2072										The Putnam Lab at the University of Rhode Island
SAMN31132195	Successfully loaded	2087_Pact_mtORF_HoloInt	2087_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii HIMB	Coral host tissue	adult			063_2087										The Putnam Lab at the University of Rhode Island
SAMN31132196	Successfully loaded	2185_Pact_mtORF_HoloInt	2185_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii HIMB	Coral host tissue	adult			091_2185										The Putnam Lab at the University of Rhode Island
SAMN31132197	Successfully loaded	2195_Pact_mtORF_HoloInt	2195_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			110_2195										The Putnam Lab at the University of Rhode Island
SAMN31132198	Successfully loaded	2197_Pact_mtORF_HoloInt	2197_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Reef.35.36	Coral host tissue	adult			114_2197										The Putnam Lab at the University of Rhode Island
SAMN31132199	Successfully loaded	2202_Pact_mtORF_HoloInt	2202_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii HIMB	Coral host tissue	adult			062_2202										The Putnam Lab at the University of Rhode Island
